name,location,cuisines,highlights,cost_for_two,rating,budget_bucket
Sang Grail,JP Nagar,Healthy Food,,300.0,3.6,low
Fabcafe,MG Road,"Cafe, Healthy Food",,800.0,4.2,medium
Avanti Indian Barbeque & Grill,Domlur,North Indian,Garlic Naan,1100.0,3.4,medium
China South,Brigade Road,"Chinese, Tibetan",,600.0,,medium
Spice It - Ibis Hotel,Bommanahalli,"Asian, Continental, European, Fast Food, North Indian, Mughlai, South Indian",Pasta,1200.0,3.0,medium
Nawab's Kolkatta Roll,Brigade Road,"Street Food, Rolls",,150.0,3.4,low
Sunny Side Bistro,Frazer Town,"Cafe, Continental","English Breakfast, Waffles, Chicken Sandwich, Pancakes, Pork Sausage, Eggs Benedict, Hot Chocolate",700.0,3.8,medium
20 Feet High,Church Street,"American, Continental, Steak, Salad","Burgers, Mocktails, Pasta, Cocktails, Beef Steak, Lunch Buffet, Chicken Steak",1000.0,4.0,medium
Smoor,Whitefield,"Desserts, Cafe, Continental","Cheesecake, Chocolate Sundae, Gooey Chocolate Cake, Cup Cake, Coffee, Rainbow Cake, Hot Chocolate",700.0,4.4,medium
Rasta,Church Street,"Continental, Cafe",,1000.0,,medium
Kitchens Of Chettinad,Whitefield,South Indian,,250.0,,low
Bay Root,BTM,"North Indian, Arabian",,400.0,3.7,low
Nisarga Garden,Infantry Road,"South Indian, Chinese, Street Food, Juices","Akki Rottis, Rumali Roti, Masala Dosa, Vada, Raagi Roti, Rava Idli, Coffee",300.0,4.0,low
Just Cakes,Electronic City,Bakery,,350.0,3.4,low
Village Kitchen,HSR,"South Indian, Kerala, Chinese",,250.0,,low
Kalakki Biryani,Bannerghatta Road,"Andhra, Biryani",,300.0,,low
Cafe Lassi Lab,New BEL Road,"Fast Food, Beverages",,300.0,3.3,low
Gilly's Restobar,Koramangala 5th Block,"Finger Food, Continental, North Indian","Thai Crispy Chicken, Mojito, Watermelon Martini, Chicken Biryani, Beef Fry, Cocktails, Calamari",1000.0,4.5,medium
Burger King,"ITPL Main Road, Whitefield","Burger, Fast Food, Beverages","Burgers, Fries",600.0,3.9,medium
Atithi Satkaar,Majestic,South Indian,,150.0,3.2,low
Apsara Ice Cream,Whitefield,"Ice Cream, Desserts",,200.0,3.2,low
Biryani Knights,JP Nagar,Biryani,,300.0,3.6,low
Pecos Mojo,Banaswadi,Finger Food,"Beer, Beef Chilli",1100.0,4.0,medium
Ice Land,JP Nagar,"Ice Cream, Desserts","Prompt Service, Friendly Staff",300.0,3.6,low
Cool Corner Arun Ice Cream,Frazer Town,"Desserts, Ice Cream",,200.0,3.5,low
Biryani Foodies,Koramangala 5th Block,"Biryani, Mughlai",,500.0,3.1,low
Al Zaiqa Hotel,Marathahalli,"Chinese, South Indian, Fast Food",,200.0,3.4,low
Hotel Ajantha,MG Road,South Indian,"Masala Dosa, Filter Coffee, Vada, Akki Rottis, Rava Dosa",200.0,3.9,low
Chefie,Whitefield,"Continental, Fast Food, Italian, North Indian",,200.0,,low
Hatti Punjab Di,HSR,"North Indian, Chinese",,600.0,3.3,medium
Hotel Manu,HSR,"South Indian, Kerala, Chinese, North Indian","Fish, Paratha",400.0,3.9,low
Origami,Indiranagar,Japanese,,700.0,3.4,medium
Desi Chai,Marathahalli,"Cafe, Fast Food, Beverages",,300.0,,low
The Lobby Lounge - The Ritz-Carlton,Residency Road,Beverages,,2000.0,4.1,high
King's Appetite,Electronic City,"North Indian, Chinese",Prompt Service,500.0,3.7,low
Leon Grill,Indiranagar,"Burger, Turkish, Arabian, Fast Food, Salad, Healthy Food, Desserts","Burgers, Chocolate Mousse, Peri Peri Wings, Peri Peri Fries, Wedges, Peri Peri Chicken Salad, Salads",500.0,4.2,low
Beijing Bites,Bannerghatta Road,"Chinese, Thai",Chop Suey,850.0,2.7,medium
Gobble Up,Bannerghatta Road,"Chinese, Street Food",,200.0,,low
Silsila,Koramangala 4th Block,North Indian,Paratha,800.0,2.7,medium
Kreme Delight,Whitefield,"Bakery, Desserts",,300.0,3.4,low
Shri Sai By 2 Coffee,Basaveshwara Nagar,"South Indian, Chinese",,200.0,,low
Amrutha Grand Restaurant,Sarjapur Road,"North Indian, Biryani, Chinese","Malai Kofta, Chicken Boneless Biryani, Naan, Sweet Corn Soup, Noodles, Thali, Hyderabadi Dum Biryani",500.0,3.2,low
Carlos Cake Cafe,Marathahalli,"Bakery, Desserts",,300.0,3.3,low
Aagaman Veg,Indiranagar,"North Indian, Chinese, South Indian","Jalebi, Lunch Buffet, Dal Kichadi, Panneer Butter Masala, Crispy Corn, Dal Makhani, Gulab Jamun",900.0,4.0,medium
Innate,Hennur,Beverages,,,3.0,high
Chez Nous - Novotel,Marathahalli,"European, French, North Indian","Coffee, Cocktails, Tiramisu, Cappuccino, Hot Chocolate, Tea",2500.0,3.9,high
Daily Bread,JP Nagar,"Bakery, Fast Food, Italian","Pasta, Sandwiches, Cappuccino, Sandwich",600.0,3.2,medium
Bar UNO - JW Marriott Bengaluru,Lavelle Road,Spanish,"Cocktails, Pizza",2500.0,3.9,high
Indira Darshini,Frazer Town,"South Indian, Chinese",,200.0,3.6,low
Namaste Kitchen,Koramangala 5th Block,"North Indian, South Indian, Chinese","Jalebi, Chaat, Dal Makhani, Tandoori Roti",550.0,3.8,low
The Charcoal Factory,Koramangala 6th Block,"Burger, Pizza, Momos","Burgers, Cheesy Pizza, Chips, Fries, Rice Bowl, White Sauce Pasta, Chicken Wings",600.0,4.1,medium
Ambur Biryani Zone,Malleshwaram,"Biryani, Kebab",,150.0,,low
Malhar Maharashtrian Cuisine,Bannerghatta Road,Maharashtrian,"Brinjal Curry, Misal Pav, Chicken Thali, Chicken Kolhapuri, Sabudana Vada, Veg Thali",500.0,4.0,low
Karama Restaurant,Frazer Town,"Arabian, North Indian, Beverages","Salads, Veg Pulao, Sea Food, Popcorn Chicken, Karachi Naan, Rabri, Butter Chicken",750.0,4.4,medium
Rawal Jalebi,Commercial Street,Desserts,,100.0,3.5,low
Natural Ice Cream,Jayanagar,"Ice Cream, Desserts","Guava Ice Cream, Coffee Walnut, Tender Coconut Ice Cream, Waffle Cone, Mango Ice Cream, Fruit Ice Cream, Waffles",150.0,4.4,low
Cafe Arabica,Bannerghatta Road,"Cafe, Bakery","Coffee, French Fries, Lemon Tea, Veg Sandwich",700.0,3.8,medium
Tiamo - Conrad Bengaluru,Ulsoor,"Italian, Mediterranean","Ratatouille, Pizza, Tiramisu, Pasta, Wild Mushroom Risotto, Cocktails",2500.0,4.2,high
Delicious Demons,Koramangala 1st Block,Continental,,400.0,3.3,low
Shekhawati Restaurant,Sarjapur Road,North Indian,,300.0,3.7,low
Dessi Cuppa,HSR,"Beverages, Fast Food",,300.0,3.7,low
Cafe Petu,Marathahalli,"North Indian, Sandwich","Paratha, Pizza Parantha, Tea, Sandwich, Honey Chilli Potatoes, Pasta Alfredo, Coffee",300.0,3.8,low
Chacha Ka Dhaba,Whitefield,"North Indian, Chinese",,400.0,,low
Chatorr,Bellandur,"Fast Food, Street Food",,400.0,2.9,low
Panjabi Dhaba,Bommanahalli,"North Indian, Chinese",,300.0,3.2,low
Vijayalakshmi Veg,Frazer Town,South Indian,,200.0,3.9,low
Bangalore Pub Exchange,MG Road,"Continental, Finger Food, Pizza, North Indian","Pizza, Fish, Cocktails, Pasta Alfredo, Brownie Chocolate, Biryani, Rumali Roti",1000.0,4.1,medium
Basmati Delights,BTM,"Biryani, Chinese, Mughlai, Fast Food, Kebab","Tandoori Chicken, Mutton Biryani, Andhra Biryani, Raita, Hyderabadi Dum Biryani, Chicken Boneless Biryani, Vegetable Biryani",500.0,4.0,low
Hotel Lakshmi Paradise,Bannerghatta Road,"North Indian, Mughlai",,400.0,3.3,low
Ghee Positive,Koramangala 8th Block,"North Indian, Chinese","Paratha, Mutton Curry",300.0,3.8,low
Swathi Deluxe Restaurant,Shanti Nagar,North Indian,"Biryani, Chicken Kebab, Andhra Meal, Lime Soda",500.0,2.9,low
SGS Nonveg- Gundu Palav,Kalyan Nagar,"Biryani, Fast Food",,400.0,3.6,low
Ayush Reddy Tiffins & Fast Food Center,BTM,"South Indian, Fast Food, Chinese",,300.0,,low
Sher-E-Punjab,BTM,"North Indian, Chinese",,400.0,3.1,low
Chung Wah,Bellandur,"Chinese, Thai",,400.0,2.9,low
Chirayu Biryani House,Whitefield,Biryani,,300.0,,low
Tarbouche,BTM,"Turkish, Rolls",,300.0,3.8,low
YumYumDilli,Sarjapur Road,North Indian,,500.0,3.0,low
Dr. Bubbles,Jayanagar,"Beverages, Desserts","Waffles, Iced Coffee, Yoghurt Shake, Belgian Chocolate Waffle, Ice Tea, Faluda",400.0,4.2,low
Biryani House,Whitefield,"Biryani, North Indian",,450.0,3.6,low
Taste of Assam,Koramangala 4th Block,"Assamese, North Indian, Chinese",,400.0,3.2,low
Smack Cafe,Koramangala 1st Block,Cafe,,400.0,,low
Eat Eroo - South China,Marathahalli,"South Indian, Chinese","Dabeli, Veg Manchow Soup, Momos, Hakka Noodles, Egg Roll, Rolls, Dragon Chicken",350.0,3.8,low
Snack Itt,Whitefield,Bakery,,200.0,,low
Jerome Coffee & Food court,MG Road,"South Indian, Street Food",,150.0,,low
Pot Biryani,Domlur,"North Indian, Chinese, Biryani, Seafood","Pot Biryani, Boneless Biryani, Raita, Paneer Biryani, Mutton Biryani, Sea Food, Ghee Roast Mutton",600.0,3.9,medium
Smoothie Hub,BTM,"Beverages, Sandwich",,100.0,3.1,low
VSV Chettinad,Kaggadasapura,"Chettinad, South Indian, Chinese, Seafood, Rolls, North Indian",Rolls,600.0,3.3,medium
Namana Garden,Bannerghatta Road,"South Indian, Beverages",,250.0,,low
Time Traveller - Sai Vishram,Electronic City,"Continental, North Indian, South Indian, Chinese","Salads, Veg Buffet, Dahi Vada, Pasta, Vegetarian, Halwa, Noodles",1100.0,4.2,medium
Taste Of Andhra,Kalyan Nagar,"Andhra, South Indian",,300.0,,low
Bombay Adda,Koramangala 7th Block,Modern Indian,"Nachos, Cocktails, Chicken Tikka, Nasi Goreng, Pav Bhaji Fondue, Tiramisu, Samosa",1100.0,4.5,medium
ToothSome,Kaggadasapura,"North Indian, Bengali, Chinese",,400.0,,low
Wanderers,Kalyan Nagar,"Continental, North Indian, South Indian, Italian","Pizza, Chicken Burger, Wheat Beer, Chips, Craft Beer, Stout, Peri Peri Fries",1500.0,3.9,high
Lassi House,Ejipura,"Beverages, Desserts",,150.0,,low
Alibaba Cafe and Restaurant,Frazer Town,"Arabian, Middle Eastern","Biryani, Irani Chai, Tea, Lemonade, Mezze Platter, Shawarma, Plain Rice",700.0,3.9,medium
Waffle Walle,Bannerghatta Road,"Desserts, Belgian, Beverages","Liege Waffle, Vanilla Ice Cream, Chocolate Waffles, Chocolate Drink, Crunchy Waffles, Chocolate Icecreams, Belgian Waffles",500.0,4.3,low
A Pinch Of Magic,Whitefield,"Bakery, Desserts",,1000.0,,medium
Lime Twist,Brigade Road,"Beverages, Desserts",,200.0,,low
Carnatic,Church Street,"South Indian, Kerala, Andhra, Biryani, Chettinad, Konkan, Mangalorean","Thali, Andhra Chilli Chicken, Coconut Mousse, Raita, Kothu Paratha, Appam, Tender Coconut Payasam",1000.0,4.2,medium
Chai Point,Hosur Road,"Tea, Beverages, Fast Food",,250.0,,low
Imli,Marathahalli,"North Indian, Beverages, Fast Food, Street Food",,250.0,3.3,low
Kitchens@Mahadevpura,Whitefield,"Italian, North Indian, South Indian, Chinese",Prompt Service,600.0,3.9,medium
Cafe Happytizing,Electronic City,"Cafe, Sandwich, Pizza, North Indian, Mexican","Peri Peri Fries, Nachos, Pasta, Paratha, Peri Peri Chicken Pizza, Burgers, Noodles",700.0,4.1,medium
Kshatriya's Kitchen,Whitefield,"Andhra, South Indian",,300.0,3.7,low
Swaad,Jeevan Bhima Nagar,North Indian,,200.0,3.2,low
Chef Master,Jayanagar,"Kerala, North Indian, Chinese","Fish Curry, Appam, Tea, Egg Roast, Sea Food",300.0,3.8,low
Shyamali Fast Food Kolkata Style,Ejipura,"Biryani, Chinese, North Indian",,250.0,,low
Bhojan@99,Electronic City,Fast Food,,200.0,,low
Juice Planet Food Corner,Domlur,"Biryani, Beverages",,150.0,,low
Mangala's Tea Time Cafe,Koramangala 1st Block,"Tea, Fast Food",,150.0,,low
Alif Hotel,Yeshwantpur,"North Indian, Chinese, Mughlai",,400.0,,low
Ambur Hot Dum Biriyani,Kalyan Nagar,Biryani,,120.0,,low
Thrupthi Restaurant,Bannerghatta Road,Kerala,,150.0,3.4,low
Magic Box,Indiranagar,"South Indian, North Indian, Chinese",,300.0,3.3,low
Litti Twist,BTM,"North Indian, Bihari","Litti, Liti Chokha, Lassi, Tea, Paratha, Thali, Chai",300.0,4.2,low
Sanadige - Goldfinch Hotel,Seshadripuram,"Kerala, Mangalorean, Maharashtrian, Goan, Seafood","Sea Food, Fish, Prawn Ghee Roast, Neer Dosa, Chicken Sukha, Appam, Tawa Chicken",1200.0,4.1,medium
Tattva Cafe,Koramangala 6th Block,Cafe,"Tea, Masala Chai, Filter Coffee, Sandwich, Burgers, Orange Juice, Poha",450.0,2.8,low
Mahesh Friends Food Center,BTM,"Chinese, North Indian",Lassi,300.0,2.9,low
Hatti Punjab Di,Brigade Road,North Indian,"Tandoori Chicken, Butter Chicken, Garlic Naan",450.0,3.4,low
The Salad Studio,Bellandur,"Cafe, Healthy Food, Salad","Salads, Salad, Sandwiches, Chicken Grill",400.0,4.0,low
Maven Foods,Koramangala 4th Block,"Continental, North Indian, South Indian",,650.0,3.6,medium
Dhaba Express,HSR,"Biryani, Fast Food, North Indian, Chinese",Paratha,400.0,3.7,low
Rolling Rolls,Koramangala 1st Block,"Fast Food, Rolls",,450.0,,low
Momos Corner,HSR,Chinese,,250.0,3.3,low
Eat Well,Indiranagar,"North Indian, Chinese",,400.0,3.5,low
Chef Genie,HSR,"Biryani, Fast Food",,500.0,,low
Aroma's Hyderabad House,Nagawara,"Mughlai, Biryani, North Indian","Vegetable Biryani, Hyderabadi Biryani, Chicken Dum Biryani, Raita, Chicken Boneless Biryani, Mutton Biryani, Paneer Biryani",800.0,4.2,medium
Pecos Classic,Brigade Road,Finger Food,"Murgh Ghee Roast, Fried Rice, Draught Beer, Beef Chilli, Chicken Curry, Fish Fingers, French Fries",1100.0,4.1,medium
Debby's Kitchen,Frazer Town,"Modern Indian, American, Chinese",,250.0,3.6,low
La Brasserie - Le Meridien,Sankey Road,"North Indian, Continental, Japanese, Chinese, South Indian","Pasta, Veg Sushi, Biryani, Lunch Buffet, Waffles, Grilled Lamb, Sunday Brunch",4100.0,4.1,high
Tasty Bites,JP Nagar,North Indian,"Paratha, Kheer, Lassi, Buttermilk, Paneer Bhurji, Custard, Bhindi Masala",450.0,3.8,low
Fnp Cakes 'N' More,Malleshwaram,Bakery,,150.0,,low
French Bakery,BTM,"Desserts, Bakery, Beverages",,250.0,3.3,low
Curry Leaves,Jayanagar,"Andhra, North Indian, Chinese","Andhra Meal, Vegetable Biryani, Veg Thali, Chicken Chettinad, French Chicken, Manchurian",600.0,3.8,medium
Red Bawarchi,BTM,"Biryani, Chinese, North Indian",,600.0,3.0,medium
Sloshed,Basaveshwara Nagar,"Arabian, Chinese, Continental, North Indian, Finger Food","Beer, Pasta",1200.0,3.9,medium
Tea Villa Cafe,Jayanagar,"Cafe, Continental, Mediterranean, Italian, Desserts","Tea, Waffles, Coffee, Nutella Waffle, Pizza, Wedges, Pasta",800.0,4.3,medium
Asaivam Restaurant,Indiranagar,"Chettinad, South Indian",Mutton Biryani,750.0,4.0,medium
RR Dum Biryani,Basaveshwara Nagar,"Biryani, Kebab",,300.0,,low
Monsoon - The Park Bangalore,MG Road,"Italian, North Indian","Salads, Brownie, Cheesecake, Salad, Biryani, Dal Makhani, Pizza",3000.0,4.2,high
Floured-Baked With Love,Banashankari,Bakery,"Cup Cake, Chocolate Cake",400.0,3.8,low
Madurai Idly Shop,Koramangala 6th Block,South Indian,"Tea, Upma, Coffee, Pongal, Podi Idli, Masala Vada, Mini Idlis",200.0,3.7,low
Kamat Restaurant,City Market,"South Indian, North Indian, Chinese, Desserts, Juices",,400.0,3.6,low
Hammered,Cunningham Road,"North Indian, Thai, Japanese, Continental, Cafe","Crispy Corn, Sangria, Chicken Satay, Masala Fries, Wood Fire Pizza, Pesto Pasta, Cocktails",1300.0,4.7,medium
Cafe MingoÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂs,Richmond Road,"Fast Food, Beverages",,200.0,,low
Meghana Foods,Indiranagar,"Biryani, Chinese, North Indian, Seafood","Chicken Boneless Biryani, Paneer Biryani, Andhra Style Biryani, Tandoori Chicken, Prawn Biryani, Raita, Hyderabadi Biryani",750.0,4.2,medium
The Sugar Fairy,Frazer Town,"Bakery, Desserts","Cup Cake, Chocolate Truffle, Brownie, Cake Pops, Cheesecake",100.0,4.3,low
Aami Bangali,Koramangala 5th Block,Bengali,"Basanti Pulao, Fish, Aloo Posto, Thali, Daab Chingri",700.0,3.6,medium
Kesar Sweet Shop and Fast Food,Brookefield,"North Indian, South Indian, Chinese, Street Food, Mithai","Chole Bhature, Jalebi, Chaat, Puri Sabzi, Buttermilk, Dhokla, Panipuri",500.0,4.1,low
I Siri Restaurant And Caterers,Electronic City,"North Indian, South Indian, Chinese",,400.0,3.4,low
Juicy,Koramangala 5th Block,"Beverages, Juices, Fast Food","Sandwiches, Oreo Shake",200.0,3.9,low
Eagles Pizza,Koramangala 7th Block,"Pizza, Italian",,400.0,3.8,low
Chung Shan Chinese Restaurant,Ejipura,"Chinese, Momos",,500.0,3.7,low
Sri Rajasthani Foods,JP Nagar,"Rajasthani, North Indian",,200.0,3.6,low
Deli Counter - Gateway Hotel,Residency Road,Bakery,,500.0,3.5,low
Suryawanshi,Whitefield,"Maharashtrian, Seafood","Misal Pav, Mutton Fry, Malwani Food, Mutton Thali, Chicken Fry, Sabudana Vada, Chicken Handi",700.0,4.2,medium
Watson's,Ulsoor,"Finger Food, Salad, Chinese, Continental","Beer, Mocktails, Cocktails, Margherita Pizza, Supreme Pizza, Fish Chilli, Margarita",1300.0,4.2,medium
Mumbai Kulfi,Marathahalli,"Desserts, Ice Cream",,200.0,,low
Khatta Meetha Teekha,Koramangala 6th Block,"Street Food, North Indian, Mithai, Chinese, Beverages","Gulab Jamun, Raita, Chaat, Chole, Soya Chaap, Panipuri, Dal Makhani",300.0,4.3,low
Rajtilak Sweets,Sarjapur Road,"Street Food, Fast Food, Mithai",,250.0,2.7,low
Happy Plate,Koramangala 6th Block,"North Indian, Chinese, South Indian, Fast Food","Chole Bhature, Omelette",400.0,3.6,low
Odissi Restaurant,BTM,Oriya,"Egg Tadka, Roti, Veg Thali",200.0,2.9,low
The Grill House,Kalyan Nagar,"American, Mexican, Italian, Steak","Burgers, Buffalo Wings, Chicken Wings, Nachos, Chicken Sizzler, Beer, Chicken Steak",1000.0,4.0,medium
Melange - Hotel Ekaa,Electronic City,"North Indian, Chinese, Continental, Mangalorean","Anjal Masala Fry, Pasta, Veg Platter, Biryani, Jeera Rice, Murgh Ghee Roast, Sea Food",900.0,3.2,medium
The Original Bistro,Kalyan Nagar,"Italian, Beverages","Gnocchi, Pasta, Veg Lasagna, Burgers, Grilled Steak, Pizza, Sandwiches",600.0,4.1,medium
@North Parontha Hut,Old Airport Road,North Indian,,300.0,,low
Sugary Bakers - A Boutique Bakery,Koramangala 3rd Block,"Bakery, Desserts",,200.0,,low
Royal Lunch Home,Koramangala 2nd Block,North Indian,,150.0,,low
Bakers Town,BTM,"Cafe, Continental, Fast Food","Fries, Pasta, Sandwich, Burgers, Chicken Burger, Monster Burger",600.0,3.6,medium
The Lounge - Eden Park Restaurants,Jayanagar,"North Indian, Afghani","Mutton Biryani, Mojito, Dal Makhani, Cocktails, Raita",1350.0,3.7,medium
McDonald's,HSR,"Burger, Fast Food","Coffee, Peri Peri Fries, Hot Chocolate, Scrambled Eggs, Donut, Grilled Chicken Wrap, Ice Tea",500.0,3.8,low
Sweet Nothings Couture Cupcakes,Whitefield,"Desserts, Bakery",,250.0,3.4,low
The Litti Company,Koramangala 4th Block,Bihari,,400.0,3.7,low
Wok Chow,Sanjay Nagar,"Chinese, Thai, Momos","Momos, Shanghai Chicken",300.0,3.9,low
Kor Cafe,Koramangala 1st Block,Kerala,,300.0,3.8,low
Biryani Mane,Marathahalli,"North Indian, Biryani","Vegetable Biryani, Chicken Biryani, Chicken Kebab, Mutton Biryani",600.0,3.6,medium
Deepam Tiffins,BTM,"South Indian, North Indian, Chinese",,300.0,,low
UBQ by Barbeque Nation,Whitefield,"North Indian, BBQ, Biryani, Kebab",,450.0,3.5,low
La Mirch,JP Nagar,"North Indian, Kashmiri",,400.0,,low
Domino's Pizza,Wilson Garden,"Pizza, Fast Food",Pizza,800.0,3.7,medium
KrumbKraft,Domlur,"Bakery, European",,300.0,3.5,low
Shater Grill House,BTM,"North Indian, Arabian, Chinese",,700.0,3.5,medium
Nandhana Palace,Indiranagar,"Andhra, Biryani, North Indian, Chinese","Andhra Meal, Mutton Soup, Vegetable Biryani, Non Veg Thali, Chicken Boneless Biryani, Mutton Biryani, Chilli Chicken",800.0,4.2,medium
Mysore Carnival Restaurant,Koramangala 6th Block,"Chinese, Kerala, North Indian, South Indian",,350.0,3.8,low
Purnabramha Maharashtrian Restaurant,Kalyan Nagar,Maharashtrian,,850.0,3.6,medium
Stoner,Sarjapur Road,"Ice Cream, Cafe, Pizza, Burger, Desserts, Beverages","Burgers, Cheesy Chicken Burger, Chicken Chilli Pizza, Monster Burger, Peri Peri Chicken Burger, Butter Chicken Pizza, Mojito",500.0,4.3,low
White Oak Cafe,Kammanahalli,"Cafe, Fast Food",,600.0,2.6,medium
Agent Jack's Bar,Indiranagar,"Continental, North Indian, Italian","Margarita, Masala Peanuts, Cocktails, Momos, Pizza, Beer, Chicken Nachos",1300.0,4.1,medium
Hot Momos,Hennur,Fast Food,,150.0,,low
Bangarpet Chats,New BEL Road,Street Food,,100.0,,low
Savoury Restaurant,BTM,"Arabian, North Indian, Chinese, Fast Food","Shawarma, Bamboo Biryani, Chicken Shawarama, Chicken Grill, Chicken Kebab, Fish, Appam",800.0,3.9,medium
Flavors of North,New BEL Road,"North Indian, Chinese, Biryani","Malai Kofta, Fries, Chicken Biryani, Stuffed Kulcha",400.0,3.3,low
Masala Central,Frazer Town,North Indian,"Sandwiches, Tea, Masala Chai, Pasta, Maggi, Sandwich, Chicken Burger",300.0,3.7,low
Pavitra Paradise,Basaveshwara Nagar,"Bakery, Desserts",Pizza,200.0,3.8,low
A 1 Pizza and Food,Old Airport Road,"Pizza, Chinese, North Indian",Pizza,300.0,2.8,low
Cafe Mandala,New BEL Road,"Cafe, North Indian, Chinese, Fast Food",Decor,600.0,3.9,medium
Litti Twist,Hosur Road,"Bihari, North Indian","Paratha, Liti Chokha, Buttermilk, Tea, Aloo Litti, Raita",300.0,4.2,low
Sri Sai Sagar Food,MG Road,"Street Food, Fast Food, North Indian",,300.0,,low
Andhra Vantillu,Marathahalli,"South Indian, North Indian",,350.0,3.3,low
Dande's Hyderabad Biryani,Bannerghatta Road,"Biryani, Andhra, North Indian","Chicken Boneless Biryani, Lemon Chicken, Dum Biryani",700.0,3.8,medium
MAP- My Appetite Place,HSR,"North Indian, Italian, Chinese",,600.0,3.8,medium
Kundana,Bannerghatta Road,"Andhra, Biryani","Lemon Chicken, Chicken Dum Biryani, Mutton Biryani",800.0,3.7,medium
Fetchpod Cafe,Koramangala 6th Block,"Cafe, North Indian, Chinese, Continental",,500.0,2.9,low
Kerala Kitchen,Brigade Road,"Kerala, South Indian",,200.0,3.2,low
Ambur Hot Dum Biriyani,Shivajinagar,Biryani,,250.0,,low
Annabell,Bellandur,"Fast Food, Burger, Beverages",,800.0,,medium
Tikka Kebab,Electronic City,"Kebab, North Indian, Chinese",,250.0,3.7,low
NOC Cafe & Catering,New BEL Road,"North Indian, Fast Food",,400.0,3.2,low
Essential Kitchen,Wilson Garden,"Chinese, Fast Food",,500.0,3.3,low
Chaatimes,BTM,"Street Food, Fast Food",,250.0,4.2,low
Karachi Bakery,Frazer Town,"Bakery, Desserts",,400.0,,low
Hang10 Resto N Cafe,BTM,"Cafe, North Indian, Chinese","Burgers, Chicken Grill, Faluda, French Fries, Sandwich",700.0,3.8,medium
Maa Vooru,Bellandur,Fast Food,,300.0,3.3,low
Kaaka T Cafe,BTM,Fast Food,,400.0,3.5,low
Kannoor Restaurant,BTM,"Kerala, Chinese, South Indian, North Indian",,700.0,3.1,medium
Belgian Waffle Factory,Brigade Road,Desserts,"Coffee, Berryblast, Nachos, Chocolate Waffles, Nutella Waffle, Chocolate Overload, Sandwiches",400.0,4.9,low
Alankrutha,BTM,"Andhra, Biryani, North Indian, Chinese","Chicken Biryani, Hyderabadi Biryani, Dum Biryani",500.0,3.8,low
Konark Restaurant,Marathahalli,"North Indian, South Indian",,200.0,3.1,low
Hyderabadi Spice,Electronic City,"Hyderabadi, Andhra, Chinese, Biryani","Chicken Biryani, Hyderabadi Biryani",400.0,4.0,low
The Twenty Handmade Chocolates,Kalyan Nagar,Bakery,,200.0,,low
Orissa Dining Mess,New BEL Road,"Bengali, North Indian",,300.0,,low
Central Cafe,Kammanahalli,"South Indian, Kerala",,150.0,,low
Sri Venkateshwara Sweetmeat Stall,Malleshwaram,"Mithai, Street Food",,300.0,3.8,low
Vandana Restaurant,Electronic City,"Arabian, North Indian, Chinese, Biryani",,400.0,,low
Re:fuel- Aloft Bengaluru Cessna Business Park,Bellandur,"Bakery, Beverages, Cafe, Coffee, Desserts, Sandwich",,1000.0,,medium
Shake The Shake,Electronic City,Juices,,200.0,,low
Jiyo Natural,South Bangalore,"Healthy Food, North Indian",,300.0,3.6,low
Best Biryani,Marathahalli,"North Indian, Biryani, Desserts",,600.0,,medium
Sagar Fast Food,BTM,"South Indian, Chinese, North Indian","Idli, Masala Dosa, Sweet Lassi",300.0,3.7,low
Little Bites,MG Road,"Cafe, Fast Food",,200.0,3.6,low
Opus Food Stories,Sarjapur Road,"Goan, Asian, North Indian, European, Continental","Cocktails, Chicken Tikka, Sunday Brunch, Rasmalai, Lunch Buffet, Ravioli, Mocktails",1800.0,4.5,high
Donne Biryani,Shanti Nagar,Biryani,,200.0,3.2,low
Swad Family Restaurant,Bannerghatta Road,"North Indian, Chinese",,650.0,,medium
Bearfoot Cafe,Koramangala 6th Block,Cafe,"Cappuccino, Burgers, Fish, Pizza, Coffee, White Sauce Pasta, Fries",600.0,4.2,medium
Ithaca - The Chancery Pavilion,Residency Road,"North Indian, Italian, European, Continental","Salads, Sunday Brunch, Cocktails, Watermelon Juice, Fish, Club Sandwich, Breakfast Buffet",2000.0,3.9,high
Loveshack,Domlur,"Continental, Pizza, North Indian, Goan, Burger, Cafe","Corn Balls, Cocktails, Mocktails, Sunday Brunch, Fish, Chicken Wings, Nachos",1600.0,4.0,high
Halli Mane Hotel,Kalyan Nagar,South Indian,,300.0,,low
Firangi Bake,Banashankari,"Mexican, Italian","Minced Chicken Lasagne, Chicken Steak",600.0,4.0,medium
The 90s Hash House,BTM,Cafe,"Burgers, Pasta, Hot Chocolate, Caramel Coffee",500.0,3.8,low
Kesariya,JP Nagar,Rajasthani,"Kheer, Fruit Cream, Panipuri, Rajasthani Thali, Kulfi, Shrikhand, Dal Bati",1200.0,4.2,medium
BTM Cakes,BTM,"Bakery, Desserts",,400.0,3.3,low
Mayura Sagar,Brookefield,"Chinese, North Indian, South Indian","Panneer Butter Masala, Coffee, Tea, Idli, Manchurian, Vada, Thali",250.0,3.6,low
